balls_1,balls_2,balls_3,balls_4,balls_5,balls_6,balls_7,balls_8,balls_9,balls_10,balls_11,balls_12,balls_13,balls_14,balls_15,balls_16,strikes_1,strikes_2,strikes_3,strikes_4,strikes_5,strikes_6,strikes_7,strikes_8,strikes_9,strikes_10,strikes_11,strikes_12,strikes_13,strikes_14,strikes_15,strikes_16
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,1,2,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,2,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,2,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,1,1,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,2,2,3,3,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA
In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,2,2,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,2,3,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,1,1,2,3,3,In,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,Play,NA,NA,NA,NA,NA,NA,NA,NA
1,1,2,2,3,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,2,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,2,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,1,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Hit by,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Pitch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,2,3,3,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,1,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,2,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,2,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA
0,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,3,3,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,2,2,2,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,2,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,1,1,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,2,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,1,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,1,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,2,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,2,3,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,2,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,1,2,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,1,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,1,2,3,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,2,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,2,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,2,2,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,2,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,2,3,3,3,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,2,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,1,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,1,2,3,3,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,1,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,2,3,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,1,1,1,2,2,In,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,2,2,Play,NA,NA,NA,NA,NA,NA,NA,NA
0,0,1,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,2,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,2,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,2,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,2,3,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,1,1,1,1,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA
In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,2,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,1,2,3,3,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,2,2,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,2,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,1,2,3,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,1,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,2,2,2,3,3,In,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,2,2,2,2,Play,NA,NA,NA,NA,NA,NA,NA,NA
0,0,1,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,2,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
